=== SHEET: Sheet1 ===
 | Color Name | HEX | Tier | Group/Family | Emotion & Role | How to Use | Percent Guidance | Platform Fit | Regional Notes | Feature Tags | Text on This Color | Pairs Best With 1 | Pairs Best With 2 | Pairs Best With 3 | Best After Target Color | Best After HEX | Best After Text Rule | Best After Reason | Best Before Target Color | Best Before HEX | Best Before Text Rule | Best Before Reason | Sometimes After Target Color | Sometimes After HEX | Sometimes After Text Rule | Sometimes After Reason | Sometimes Before Target Color | Sometimes Before HEX | Sometimes Before Text Rule | Sometimes Before Reason | Never After Target Color | Never After HEX | Never After Text Rule | Never After Reason | Never Before Target Color | Never Before HEX | Never Before Text Rule | Never Before Reason | Raw Score | Reason Tag | Forbidden Flag
 | Navy | #0B2E4E | 1 | Core Brand | Deep institutional trust and authority; establishes macro stability and credibility. | Title frames, hero covers, quotes, team; sets a serious anchor without distraction. | 80–100% background; accents ≤10% | PDF • PPT • Gamma | Global-safe | Canvas | White | Off White (Canvas) | Bone | Slate Gray | Modal Fill Gray | #E9EDF2 | Charcoal | primes authority with container | Cobalt Blue | #2B50AA | White | authority to logic proof | Sage Green | #B5C9A9 | Charcoal | primes authority with legacy-align | Signal Blue | #3C61C5 | White | maintains tonal continuity (authority → data-pop) | Crimson | #D44D5C | White | fear spike after authority (whiplash) | Gold | #F4C37D | Charcoal | optimism shift without proof feels promotional | — | — | —
 | Off White (Canvas) | #FAFAFA | 1 | Core Brand | Neutral canvas; institutional restraint and clarity. | Default backgrounds for content-heavy slides. | Often 100% slide background | All; ideal for print/PDF | Global-safe | Canvas | Charcoal | Bone | Slate Gray | Cobalt Blue | Bone | #F9F6F0 | Charcoal | neutral reset for clarity and pacing | Slate Gray | #525C66 | White | moves into structure or logic cleanly | Pale Mint | #C1E1C1 | Charcoal | low-pressure guidance fits context | Modal Fill Gray | #E9EDF2 | Charcoal | soft bridge to next context | Crimson | #D44D5C | White | abrupt escalation not aligned to tone | Burnt Orange | #D2691E | White | abrupt escalation not aligned to tone | — | — | —
 | Cobalt Blue | #2B50AA | 1 | Core Brand | Structural logic and clarity; builds allocator confidence. | Section headers, performance anchors, charts. | Panels 20–30%; accents ≤15% | All platforms | Global-safe | Panel | White | Off White (Canvas) | Slate Gray | Cobalt Blue | Modal Fill Gray | #E9EDF2 | Charcoal | primes logic with container | Slate Gray | #525C66 | White | analysis → comparison clarity | Pale Mint | #C1E1C1 | Charcoal | primes logic with soft-cta | Signal Blue | #3C61C5 | White | maintains tonal continuity (logic → data-pop) | Gold | #F4C37D | Charcoal | analysis → optimism is premature | Burnt Orange | #D2691E | White | cool analysis → urgency spike | — | — | —
 | Slate Gray | #525C66 | 2 | Structural / Data | Divider logic; quiet structure. | Dividers, table borders, subtitle anchors. | Accents only | All; print-safe neutral | Universal | Panel/Overlay | White | Off White (Canvas) | Bone | Modal Fill Gray | Bone | #F9F6F0 | Charcoal | neutral reset for clarity and pacing | Cobalt Blue | #2B50AA | White | moves into structure or logic cleanly | Pale Mint | #C1E1C1 | Charcoal | low-pressure guidance fits context | Modal Fill Gray | #E9EDF2 | Charcoal | soft bridge to next context | Crimson | #D44D5C | White | abrupt escalation not aligned to tone | Gold | #F4C37D | Charcoal | abrupt escalation not aligned to tone | — | — | —
 | Teal (CTA) | #36BBA6 | 1 | Core Brand | Calm action; communicates control without pressure. | Primary CTA buttons, checklists, opt-in modules. | CTA accents ≤10% | All platforms | Global-safe | CTA | White | Off White (Canvas) | Navy | Slate Gray | Navy | #0B2E4E | White | primes cta with authority | Off White (Canvas) | #FAFAFA | Charcoal | primes cta with canvas | Pale Mint | #C1E1C1 | Charcoal | primes cta with soft-cta | Warm Clay | #DAA06D | Charcoal | maintains tonal continuity (cta → reengage) | Crimson | #D44D5C | White | primes cta with risk | Gold | #F4C37D | Charcoal | primes cta with optimism | — | — | —
 | Crimson | #D44D5C | 1 | Core Brand (Risk/Disclosure) | Compliance scrutiny / risk alert; commands focus with formality. | Risk visuals, redemptions, legal notices, drawdown lines. | Accents ≤10%; never full slide | All | Global-safe | Accent • Risk/Disclosure | Not for running text; labels/icons only | Off White (Canvas) | Slate Gray | Bone | Modal Fill Gray | #E9EDF2 | Charcoal | primes risk with container | Bone | #F9F6F0 | Charcoal | risk → warm-neutral continuity | Dusty Plum | #9B6A6C | White | primes risk with regret | Sage Green | #B5C9A9 | Charcoal | maintains tonal continuity (risk → legacy-align) | Gold | #F4C37D | Charcoal | caution → cheer is dissonant | Gold | #F4C37D | Charcoal | caution → cheer is dissonant | — | — | —
 | Coral Red | #FF6B6B | 3 | Behavioral & Emotional (Risk/Disclosure) | Transparent empathy; discuss volatility without panic. | Acknowledge past losses; chart highlights. | Accents ≤15%; single-slide background | Screen-strong | Global | Accent • Risk/Disclosure | Not for running text; labels/icons only | Off White (Canvas) | Slate Gray | Bone | Modal Fill Gray | #E9EDF2 | Charcoal | primes empathy-risk with container | Bone | #F9F6F0 | Charcoal | empathy-risk → warm-neutral continuity | Dusty Plum | #9B6A6C | White | primes empathy-risk with regret | Sage Green | #B5C9A9 | Charcoal | maintains tonal continuity (empathy-risk → legacy-align) | Gold | #F4C37D | Charcoal | primes empathy-risk with optimism | Gold | #F4C37D | Charcoal | empathy-risk → optimism dissonance | — | — | —
 | Brick Red | #8B0000 | 3 | Behavioral & Emotional (Risk/Disclosure) | Weight and consequence; sober disclosures. | Warning labels, fee/redemption notes. | Accents ≤10% | All | Global-safe | Accent • Risk/Disclosure | Not for running text; labels/icons only | Off White (Canvas) | Slate Gray | Bone | Modal Fill Gray | #E9EDF2 | Charcoal | primes serious-warning with container | Bone | #F9F6F0 | Charcoal | serious-warning → warm-neutral continuity | Dusty Plum | #9B6A6C | White | primes serious-warning with regret | Sage Green | #B5C9A9 | Charcoal | maintains tonal continuity (warning → legacy-align) | Gold | #F4C37D | Charcoal | primes serious-warning with optimism | Gold | #F4C37D | Charcoal | warning → optimism dissonance | — | — | —
 | Terracotta | #E2725B | 3 | Behavioral & Emotional (Risk/Disclosure) | Honest underperformance; humble reality check. | Underperforming bars, lessons learned. | Accents ≤20% | All | Global | Accent • Risk/Disclosure | Not for running text; labels/icons only | Off White (Canvas) | Slate Gray | Bone | Modal Fill Gray | #E9EDF2 | Charcoal | primes underperformance with container | Bone | #F9F6F0 | Charcoal | underperformance → warm-neutral continuity | Dusty Plum | #9B6A6C | White | primes underperformance with regret | Sage Green | #B5C9A9 | Charcoal | maintains tonal continuity (underperf → legacy-align) | Gold | #F4C37D | Charcoal | primes underperformance with optimism | Gold | #F4C37D | Charcoal | underperf → optimism mismatch | — | — | —
 | Soft Alert Red | #F36A7A | 3 | Behavioral & Emotional (Risk/Disclosure) | Quiet caution; non-alarming warning overlay. | Shaded chart regions, gentle advisories. | Overlays ≤30% | Gamma, PPT, PDF | Global-safe | Overlay • Risk/Disclosure | Not for running text; labels/icons only | Off White (Canvas) | Slate Gray | Bone | Modal Fill Gray | #E9EDF2 | Charcoal | primes soft-caution with container | Bone | #F9F6F0 | Charcoal | soft-caution → warm-neutral continuity | Dusty Plum | #9B6A6C | White | primes soft-caution with regret | Sage Green | #B5C9A9 | Charcoal | maintains tonal continuity (soft-caution → legacy-align) | Gold | #F4C37D | Charcoal | primes soft-caution with optimism | Gold | #F4C37D | Charcoal | soft-caution → optimism mismatch | — | — | —
